,smiles,value
415,*CCN(*)C(=O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,24.72
319,*c1cccc(OCCCCCCCCCCCOC(=O)c2cccc(C(=O)OCCCCCCCCCCCOc3cccc(-c4nnc(*)s4)c3)c2)c1,24.19
243,*CCCCCCOC(=O)Nc1ccc(Cc2ccc(NC(=O)O*)cc2)cc1,32.31
54,*Oc1c(C)cc(*)cc1C,62.833401
363,*CCCCCCOC(=O)CCC=CCCC(=O)O*,63.8
50,*CC(CO*)(COCC)COCC,26.85
174,*CCCCCCC(=O)N*,25.57
189,*CCCC(=O)N*,38.13
429,*O[Si](C)(C)CCCC(=O)Oc1ccc(C=Nc2ccc(N=Cc3ccc(OC(=O)CCC[Si](*)(C)C)cc3)cc2)cc1,29.05
187,*CCCCCCCCCCNC(=O)CCCCCCCC(=O)N*,50.69
169,*CCCCCCNC(=O)CCCCC(=O)N*,40.61
58,*CCCCOCO*,65.43
48,*CC(C)(C)CO*,47.31
344,*c1cc(CCCC)c(*)s1,12.76
235,*CCCCCCCOC(=O)NCCCCCCNC(=O)O*,30.32
252,*OC(=O)CCCCCCCCC(*)=O,83.87
21,*CC(*)C(=O)OCCCCCCCCCCCCCC,27.01
313,*CCCCOc1ccc(OC(=O)c2ccc(C(=O)Oc3ccc(O*)cc3)c(C(=O)OCC=C)c2)cc1,10.14
160,*C(=O)OCCCCCOC(=O)c1ccc(NC(=O)c2ccc(N3C(=O)c4ccc(*)cc4C3=O)cc2)cc1,19.53
276,*CCCCCCCCCCCCCCC(*)Cl,10.35
191,*CCCNC(=O)CCC=CCCC(=O)N*,35.72
385,*CCCCCCNC(=O)CCC(C)(C)c1ccc(C(C)(C)CCC(=O)N*)cc1,1.61
293,*Oc1cccc(Oc2ccc(C(=O)Oc3cccc(OC(=O)c4ccc(*)cc4)c3)cc2)c1,12.53
343,*c1cc(CCCCCCCC)c(*)s1,9.05
257,*Oc1ccc(C(C)=NN=C(C)c2ccc(OC(=O)OCCCCCCCCCCOC(*)=O)cc2)cc1,28.99
308,*CCCNC(=O)C(Cc1ccccc1)NC(=O)CCCCCCCCC(=O)NC(Cc1ccccc1)C(=O)NCCCOCCOCCO*,46.76
149,*CCCCCCCCOC(=O)CCCCCNC(=O)CCCCC(=O)NCCCCCC(=O)O*,18.79
130,*CCCCCCCOC(=O)c1ccc(C(=O)O*)cc1,17.69
151,*CCCCCCCCOC(=O)CCCCCNC(=O)c1ccc(C(=O)NCCCCCC(=O)O*)cc1,27.1
359,*CCCCCCOC(=O)CC=CCC(=O)O*,77.09
99,*CCCCCCOC(=O)CCCCCCCCC(=O)O*,74.61
372,*Oc1cc(OC(=O)c2ccc(OCCCC)cc2)c(OC(=O)CCCCCCCCCCCCCCC(*)=O)cc1OC(=O)c1ccc(OCCCC)cc1,19.6
87,*CCCOC(=O)CCCC(=O)O*,24.04
330,*Oc1cccc(OC(=O)c2ccc(C=Nc3ccc(OCCCCCCCCCCCCOc4ccc(N=Cc5ccc(C(*)=O)cc5)cc4F)c(F)c3)cc2)c1,26.81
214,*CCCCCCNC(=O)C(CCCCCCCC)C(=O)N*,21.95
121,*CCCCCCCCC(=O)O*,41.41
431,*CCN(CCCCCCOc1ccc(C=Cc2ccc([N+](=O)[O-])cc2)cc1)CCOC(=O)NCCCCCCNC(=O)O*,7.55
20,*CC(*)C(=O)OCCCCCCCCCCCC,17.77
188,*CC(C)(C)C(=O)N*,33.22
71,*Oc1ccc(Oc2ccc(OC(=O)c3cccc(C(*)=O)c3)cc2)cc1,29.77
106,*CCCCCOC(=O)c1ccc(C(=O)O*)cc1,21.11
270,*C=CCCCCCCCCCC(CCCCCCCCC*)COCCOCCOCCOCCOCCCCCC,8.9
348,*C=Cc1cccc(OC(=O)CCCCCCCCC(=O)Oc2cccc(-c3nnc(*)s3)c2)c1,12.49
102,*CCOC(=O)c1ccc(C(=O)O*)cc1,31.7557344
